Start_Node,End_Node,Weight
1,3,6183.099999999999
1,4,6183.099999999999
1,5,6183.099999999999
1,7,6183.099999999999
1,11,6183.099999999999
1,16,6183.099999999999
1,17,6183.099999999999
1,23,6183.099999999999
1,24,6183.099999999999
1,2,6428.0
1,3,6428.0
1,4,6428.0
1,5,6428.0
1,7,6428.0
1,11,6428.0
1,16,6428.0
1,17,6428.0
1,23,6428.0
1,24,6428.0
2,1,6729.000000000001
2,3,6729.000000000001
2,4,6729.000000000001
2,5,6729.000000000001
2,7,6729.000000000001
2,11,6729.000000000001
2,16,6729.000000000001
2,17,6729.000000000001
2,23,6729.000000000001
2,24,6729.000000000001
2,1,6784.0
2,3,6784.0
2,4,6784.0
2,5,6784.0
2,7,6784.0
2,11,6784.0
2,16,6784.0
2,17,6784.0
2,23,6784.0
2,24,6784.0
2,1,6553.0
2,3,6553.0
2,4,6553.0
2,5,6553.0
2,7,6553.0
2,11,6553.0
2,17,6553.0
2,23,6553.0
2,24,6553.0
3,1,6822.0
3,2,6822.0
3,4,6822.0
3,5,6822.0
3,7,6822.0
3,11,6822.0
3,17,6822.0
3,23,6822.0
3,24,6822.0
3,1,6803.0
3,2,6803.0
3,4,6803.0
3,5,6803.0
3,7,6803.0
3,11,6803.0
3,17,6803.0
3,23,6803.0
3,24,6803.0
3,1,6487.0
3,2,6487.0
3,4,6487.0
3,5,6487.0
3,7,6487.0
3,11,6487.0
3,17,6487.0
3,23,6487.0
3,24,6487.0
4,1,6519.499999999999
4,3,6519.499999999999
4,5,6519.499999999999
4,7,6519.499999999999
4,11,6519.499999999999
4,17,6519.499999999999
4,23,6519.499999999999
4,24,6519.499999999999
4,1,5942.530124999999
4,3,5942.530124999999
4,5,5942.530124999999
4,7,5942.530124999999
4,11,5942.530124999999
4,17,5942.530124999999
4,23,5942.530124999999
4,24,5942.530124999999
4,1,5098.5
4,3,5098.5
4,5,5098.5
4,23,5098.5
4,24,5098.5
4,1,6555.499999999999
4,3,6555.499999999999
4,5,6555.499999999999
4,7,6555.499999999999
4,11,6555.499999999999
4,17,6555.499999999999
4,23,6555.499999999999
4,24,6555.499999999999
4,1,6589.675000000001
4,3,6589.675000000001
4,5,6589.675000000001
4,7,6589.675000000001
4,11,6589.675000000001
4,17,6589.675000000001
4,23,6589.675000000001
4,24,6589.675000000001
4,1,5798.975
4,3,5798.975
4,5,5798.975
4,7,5798.975
4,11,5798.975
4,17,5798.975
4,23,5798.975
4,24,5798.975
4,1,4832.581875
4,3,4832.581875
4,5,4832.581875
4,7,4832.581875
4,11,4832.581875
4,17,4832.581875
4,23,4832.581875
4,24,4832.581875
5,1,6613.425
5,3,6613.425
5,4,6613.425
5,7,6613.425
5,11,6613.425
5,17,6613.425
5,23,6613.425
5,24,6613.425
5,1,5228.8
5,3,5228.8
5,4,5228.8
5,7,5228.8
5,11,5228.8
5,17,5228.8
5,23,5228.8
5,24,5228.8
5,1,5694.299999999999
5,3,5694.299999999999
5,4,5694.299999999999
5,7,5694.299999999999
5,11,5694.299999999999
5,17,5694.299999999999
5,23,5694.299999999999
5,24,5694.299999999999
5,1,6756.999999999999
5,3,6756.999999999999
5,4,6756.999999999999
5,7,6756.999999999999
5,11,6756.999999999999
5,17,6756.999999999999
5,23,6756.999999999999
5,24,6756.999999999999
5,1,4905.135
5,3,4905.135
5,4,4905.135
5,7,4905.135
5,11,4905.135
5,17,4905.135
5,23,4905.135
5,24,4905.135
5,1,6876.000000000001
5,3,6876.000000000001
5,4,6876.000000000001
5,7,6876.000000000001
5,11,6876.000000000001
5,17,6876.000000000001
5,23,6876.000000000001
5,24,6876.000000000001
6,1,5630.53125
6,3,5630.53125
6,4,5630.53125
6,5,5630.53125
6,11,5630.53125
6,17,5630.53125
6,23,5630.53125
6,24,5630.53125
6,1,6453.695124999999
6,3,6453.695124999999
6,4,6453.695124999999
6,5,6453.695124999999
6,11,6453.695124999999
6,17,6453.695124999999
6,23,6453.695124999999
6,24,6453.695124999999
6,1,6920.0
6,3,6920.0
6,4,6920.0
6,5,6920.0
6,7,6920.0
6,11,6920.0
6,17,6920.0
6,23,6920.0
6,1,6868.000000000001
6,3,6868.000000000001
6,4,6868.000000000001
6,5,6868.000000000001
6,11,6868.000000000001
6,17,6868.000000000001
6,23,6868.000000000001
6,24,6868.000000000001
6,1,6540.400000000001
6,3,6540.400000000001
6,5,6540.400000000001
6,11,6540.400000000001
6,17,6540.400000000001
6,23,6540.400000000001
6,1,6808.0
6,3,6808.0
6,4,6808.0
6,5,6808.0
6,7,6808.0
6,11,6808.0
6,17,6808.0
6,1,6463.625800000001
6,3,6463.625800000001
6,4,6463.625800000001
6,5,6463.625800000001
6,11,6463.625800000001
6,17,6463.625800000001
6,23,6463.625800000001
6,1,6750.0
6,3,6750.0
6,4,6750.0
6,5,6750.0
6,11,6750.0
6,23,6750.0
6,1,3097.5
6,3,3097.5
6,5,3097.5
6,11,3097.5
6,17,3097.5
6,23,3097.5
6,24,3097.5
6,1,6592.0
6,3,6592.0
6,4,6592.0
6,5,6592.0
6,11,6592.0
6,23,6592.0
6,24,6592.0
6,1,6157.54955
6,3,6157.54955
6,4,6157.54955
6,5,6157.54955
6,11,6157.54955
6,23,6157.54955
6,24,6157.54955
7,1,6205.8150000000005
7,3,6205.8150000000005
7,4,6205.8150000000005
7,5,6205.8150000000005
7,6,6205.8150000000005
7,11,6205.8150000000005
7,17,6205.8150000000005
7,23,6205.8150000000005
7,24,6205.8150000000005
7,1,6532.842750000001
7,3,6532.842750000001
7,4,6532.842750000001
7,5,6532.842750000001
7,6,6532.842750000001
7,11,6532.842750000001
7,17,6532.842750000001
7,23,6532.842750000001
7,24,6532.842750000001
7,1,3763.8999999999996
7,3,3763.8999999999996
7,4,3763.8999999999996
7,5,3763.8999999999996
7,6,3763.8999999999996
7,11,3763.8999999999996
7,17,3763.8999999999996
7,23,3763.8999999999996
7,24,3763.8999999999996
7,1,6780.0
7,3,6780.0
7,4,6780.0
7,5,6780.0
7,6,6780.0
7,11,6780.0
7,17,6780.0
7,23,6780.0
7,24,6780.0
7,1,6416.475
7,3,6416.475
7,4,6416.475
7,5,6416.475
7,6,6416.475
7,11,6416.475
7,17,6416.475
7,23,6416.475
7,24,6416.475
7,1,6841.0
7,3,6841.0
7,5,6841.0
7,17,6841.0
7,23,6841.0
7,24,6841.0
7,1,6556.2992
7,3,6556.2992
7,4,6556.2992
7,5,6556.2992
7,6,6556.2992
7,11,6556.2992
7,17,6556.2992
7,23,6556.2992
