Perspective,Metric_Name,Metric_Achievement_H1,Metric_Achievement_H2,Metric_Characterization_H1,Metric_Characterization_H2,Metric_Score
2,17,100,100,77.67,65.63,65.53
2,"17,15",62.5,80,92,49.65,58.4
2,"5,6,",25,90.5,86.8,29.86,62.61
2,"15,17",80,100,80.8,56.16,66.16
2,17,33.33,13.33,84.33,33.53,23.53
2,17,73.5,91.25,96.03,55.96,64.83
2,17,75,93.63,91.5,55.8,65.12
2,17,75.75,80.33,84.03,54.68,56.97
2,"17,13",100,100,93.27,68.65,68.65
2,17,100,100,84.07,66.81,66.81
2,17,83,87.25,94.5,60.4,62.53
4,1,36.98,44.28,87.93,36.08,39.73
4,"5,6,",2.89,50,87.93,19.03,42.59
5,"7,22",,98.61,87.93,,66.89
5,27,,100,87.93,,67.59
5,"2,1,22",,83.31,87.93,,59.24
