Viewpoint,Metric_Name,Metric_Achievement_H1,Metric_Achievement_H2,Nature_of_Metrics_Assessment,Performance_Metric_Score_H1,Performance_Metric_Score_H2
2,"6, 28",74,50,81.23,53.25,41.25
2,"10, 29",100,100,85.03,67.01,67.01
2,29,100,100,98.45,69.69,69.69
2,29,85,100,84,59.3,66.8
2,31,65.08,84.81,91.33,50.81,60.67
2,28,100,100,86.4,67.28,67.28
2,"28, 31",100,100,95.45,69.09,69.09
2,28,52.22,80.42,70.67,40.24,54.34
2,28,100,100,81.33,66.27,66.27
2,"28, 30",100,91.75,94.47,68.89,64.77
1,28,,100,100,,70
1,"28, 31",,97.93,87.93,,66.55
2,"28, 30",93.75,100,93.97,65.67,68.79
2,29,50,65,87.67,42.53,50.03
4,"1, 2, 22, 26",80.66,88.99,87.93,57.92,62.08
4,"1, 4, 5, 22, 32",50,50,87.93,42.59,42.59
5,7,,95.83,87.93,,65.5
5,"7, 27",,77.08,87.93,,56.13
5,"1, 2, 26",,91.48,87.93,,63.33
