Vision,Indicator_name,Metric_Achievement_H1,Metric_Achievement_H2,Evaluate_Nature_Metrics,Performance_Metric_Score_H1,Performance_Metric_Score_H2
2,"1,8,23",70,95.38,86.57,52.31,65
2,"8,15,17,19",40,50,89.27,37.85,42.85
2,"3,8,9,17,30",100,100,95.67,69.13,69.13
1,"8,23,24,26",,100,100,,70
1,"3,8,23,27",,100,100,,70
2,"3,8,17,23,36",98.77,80.75,83.5,66.08,57.08
4,"1,2,8,26",42.63,46.4,87.93,38.9,40.59
4,"8,22,26,32",6.57,50,87.93,20.87,42.59
5,"7,8,23",,71.43,87.93,,53.3
5,"8,27",,97.37,87.93,,66.27
5,"2,8",,73.08,87.93,,54.13
