Start_Node,End_Node,Weight
1.0,2.0,5161.132
1.0,3.0,5161.132
1.0,4.0,5161.132
1.0,5.0,5161.132
1.0,7.0,5161.132
1.0,11.0,5161.132
1.0,16.0,10322.264
1.0,17.0,5161.132
1.0,23.0,5161.132
1.0,24.0,5161.132
2.0,1.0,6635.587
2.0,3.0,6635.587
2.0,4.0,13271.174
2.0,5.0,6635.587
2.0,7.0,6635.587
2.0,11.0,6635.587
2.0,17.0,6635.587
2.0,23.0,6635.587
2.0,24.0,6635.587
3.0,1.0,5776.6225
3.0,4.0,5776.6225
3.0,5.0,11553.245
3.0,7.0,5776.6225
3.0,11.0,11553.245
3.0,17.0,11553.245
3.0,23.0,5776.6225
3.0,24.0,11553.245
4.0,1.0,0.0
4.0,3.0,0.0
4.0,5.0,0.0
4.0,7.0,0.0
4.0,11.0,0.0
4.0,17.0,0.0
4.0,23.0,0.0
4.0,24.0,0.0
5.0,1.0,6304.1134
5.0,3.0,12608.2268
5.0,4.0,6304.1134
5.0,7.0,6304.1134
5.0,11.0,12608.2268
5.0,17.0,12608.2268
5.0,23.0,6304.1134
5.0,24.0,12608.2268
7.0,1.0,4721.0772
7.0,3.0,4721.0772
7.0,4.0,4721.0772
7.0,5.0,4721.0772
7.0,6.0,4721.0772
7.0,17.0,4721.0772
7.0,23.0,9442.1544
7.0,24.0,4721.0772
11.0,7.0,6759.0
11.0,23.0,6759.0
11.0,27.0,5367.25
11.0,2.0,4504.3164
16.0,7.0,5969.220399999999
16.0,22.0,8638.981800000001
16.0,27.0,7977.0528
16.0,2.0,4319.490900000001
16.0,1.0,8638.981800000001
17.0,7.0,6596.0229
17.0,22.0,4935.2844000000005
17.0,27.0,6759.0
17.0,2.0,4935.2844000000005
17.0,1.0,4935.2844000000005
23.0,7.0,13043.725799999998
23.0,27.0,6521.862899999999
23.0,1.0,6022.457200000001
23.0,2.0,6022.457200000001
23.0,26.0,6022.457200000001
24.0,7.0,4438.907200000001
24.0,27.0,4438.907200000001
24.0,1.0,5108.250900000001
24.0,2.0,5108.250900000001
24.0,26.0,5108.250900000001
6.0,1.0,5802.1572
6.0,3.0,11604.3144
6.0,5.0,11604.3144
6.0,7.0,5802.1572
6.0,11.0,12169.716000000002
6.0,23.0,5802.1572
6.0,24.0,11604.3144
8.0,7.0,7614.438
8.0,23.0,7614.438
8.0,27.0,6452.7099
8.0,2.0,3955.8204
27.0,7.0,6417.6072
27.0,1.0,12472.200799999999
27.0,2.0,6236.100399999999
27.0,26.0,6236.100399999999
9.0,7.0,13518.0
9.0,23.0,13518.0
9.0,27.0,3996.3555
9.0,2.0,4382.1414
10.0,7.0,12670.636800000002
10.0,23.0,12670.636800000002
10.0,27.0,5193.5
10.0,2.0,0.0
12.0,7.0,12046.2018
12.0,23.0,12046.2018
12.0,27.0,3903.4
12.0,2.0,4202.961899999999
13.0,7.0,13518.0
13.0,23.0,13518.0
13.0,27.0,2794.1199
13.0,2.0,4342.2225
14.0,7.0,13518.0
14.0,23.0,13518.0
14.0,27.0,5813.7114
14.0,2.0,5605.1604
15.0,7.0,4916.548
15.0,22.0,10093.7478
15.0,27.0,9572.939999999999
15.0,2.0,5046.8739
15.0,1.0,10093.7478
22.0,7.0,5137.0167
22.0,27.0,10274.0334
22.0,1.0,8844.4734
22.0,2.0,4422.2367
22.0,26.0,4422.2367
18.0,7.0,5409.366
18.0,22.0,9644.6448
18.0,27.0,11627.4228
18.0,2.0,4822.3224
18.0,1.0,9644.6448
19.0,7.0,6413.021999999999
19.0,22.0,12377.411
19.0,27.0,8263.5
19.0,2.0,6188.7055
19.0,1.0,12377.411
20.0,7.0,6426.7824
20.0,22.0,11783.9928
20.0,27.0,11700.560000000001
20.0,2.0,5891.9964
20.0,1.0,11783.9928
21.0,7.0,6759.0
21.0,22.0,11868.993799999998
21.0,27.0,10734.5
21.0,2.0,5934.496899999999
21.0,1.0,11868.993799999998
26.0,7.0,3613.806000000001
26.0,27.0,3613.806000000001
26.0,1.0,5773.812
26.0,2.0,11547.624
25.0,7.0,5325.294
25.0,27.0,5325.294
25.0,1.0,6129.621999999999
25.0,2.0,12259.243999999999
25.0,26.0,12259.243999999999
28.0,7.0,3807.219
28.0,27.0,3807.219
28.0,1.0,3921.9773999999993
28.0,2.0,7843.954799999999
28.0,26.0,7843.954799999999
29.0,7.0,4326.5004
29.0,27.0,4326.5004
29.0,1.0,5793.4284
29.0,2.0,11586.8568
29.0,26.0,11586.8568
